,daily.returns,daily.returns o,1+r,1+r O,cumulative returns,cumulative returnsO,
359,-0.022493407,-0.020189469,0.977506593,0.979810531,177%,181%,
360,-0.00110681,-0.000985791,0.99889319,0.999014209,177%,181%,
361,-0.007990057,-0.01208509,0.992009943,0.98791491,175%,178%,
362,0.011068753,0.010178273,1.011068753,1.010178273,178%,181%,
363,0.012826107,0.014553861,1.012826107,1.014553861,181%,185%,
364,-0.007248531,-0.006580449,0.992751469,0.993419551,179%,183%,
365,-0.003417384,-0.003137028,0.996582616,0.996862972,178%,182%,
366,0.015448412,0.0140864,1.015448412,1.0140864,182%,186%,
367,0.024280278,0.026562895,1.024280278,1.026562895,189%,193%,
368,0.009924997,0.009175201,1.009924997,1.009175201,192%,196%,
369,0.004383059,0.004181111,1.004383059,1.004181111,193%,197%,
370,0.000491713,0.000312803,1.000491713,1.000312803,194%,198%,
371,0.003187303,0.00233082,1.003187303,1.00233082,195%,198%,
372,-0.00654748,-0.006065589,0.99345252,0.993934411,193%,196%,
373,-0.005624459,-0.005522968,0.994375541,0.994477032,191%,195%,
374,0.000651143,0.000653558,1.000651143,1.000653558,191%,195%,
375,0.007553127,0.009872009,1.007553127,1.009872009,193%,198%,
376,0.000469846,0.000461716,1.000469846,1.000461716,194%,198%,
377,0.013627137,0.016380807,1.013627137,1.016380807,198%,203%,
378,-0.005357919,-0.004938191,0.994642081,0.995061809,196%,201%,
379,0.008238224,0.007393479,1.008238224,1.007393479,198%,204%,
380,0.014370642,0.012862916,1.014370642,1.012862916,203%,208%,
381,-0.002865701,-0.002558909,0.997134299,0.997441091,202%,207%,
382,-0.003769614,-0.003514367,0.996230386,0.996485633,201%,206%,
383,-0.010845489,-0.012885407,0.989154511,0.987114593,197%,202%,
384,0.00799532,0.007434414,1.00799532,1.007434414,200%,204%,
385,-0.006364191,-0.006627138,0.993635809,0.993372862,198%,202%,
386,-0.000327609,-0.000217565,0.999672391,0.999782435,198%,202%,
387,-0.014458305,-0.015348728,0.985541695,0.984651272,193%,197%,
388,0.002990138,0.002551598,1.002990138,1.002551598,194%,198%,
389,0.014728194,0.016300034,1.014728194,1.016300034,199%,203%,
390,0.013511159,0.012385397,1.013511159,1.012385397,203%,207%,
391,0.011760093,0.012020824,1.011760093,1.012020824,206%,210%,
392,-0.012853682,-0.011388185,0.987146318,0.988611815,202%,207%,
