,daily.returns,daily.returns O,1+r,1+r O,cumulative returns,cumulative returns O,,
348,0.006334934,0.006235872,1.006334934,1.006235872,11%,17%,,
349,0.006534978,0.005387515,1.006534978,1.005387515,12%,18%,,
350,0.003059892,0.003054686,1.003059892,1.003054686,12%,18%,,
351,0.008614523,0.008778329,1.008614523,1.008778329,13%,19%,,
352,0.014431951,0.014414981,1.014431951,1.014414981,15%,21%,,
353,0.002386525,-0.002249911,1.002386525,0.997750089,15%,21%,,
354,-0.010493847,-0.010317456,0.989506153,0.989682544,14%,19%,,
355,0.011267682,0.009370009,1.011267682,1.009370009,15%,20%,,
356,0.000241454,0.00023859,1.000241454,1.00023859,15%,20%,,
357,0.018707481,0.030663469,1.018707481,1.030663469,17%,24%,,
358,-0.005487836,-0.005245335,0.994512164,0.994754665,17%,24%,,
359,0.002046405,-2.63E-05,1.002046405,0.999973704,17%,24%,,
360,-0.005760228,-0.005582302,0.994239772,0.994417698,16%,23%,,
361,0.010470364,0.0195408,1.010470364,1.0195408,17%,25%,,
362,-0.001591405,-0.001462848,0.998408595,0.998537152,17%,25%,,
363,-0.002879618,-0.000508567,0.997120382,0.999491433,17%,25%,,
364,-0.003096536,-0.00299355,0.996903464,0.99700645,17%,25%,,
365,-0.008994345,-0.010400807,0.991005655,0.989599193,16%,23%,,
366,-0.00234905,-0.002146741,0.99765095,0.997853259,15%,23%,,
367,0.003008745,0.001724297,1.003008745,1.001724297,16%,23%,,
368,-0.002200003,-0.001975621,0.997799997,0.998024379,15%,23%,,
369,-0.006552418,-0.00885136,0.993447582,0.99114864,15%,22%,,
370,0.003270148,0.003243855,1.003270148,1.003243855,15%,22%,,
371,0.005603375,0.003562701,1.005603375,1.003562701,16%,23%,,
372,0.003385658,0.003367757,1.003385658,1.003367757,16%,23%,,
373,-0.006739956,-0.006794827,0.993260044,0.993205173,15%,22%,,
374,0.003403068,0.003326278,1.003403068,1.003326278,16%,23%,,
375,-0.010413436,-0.011247334,0.989586564,0.988752666,14%,21%,,
376,0.002665054,0.002666264,1.002665054,1.002666264,15%,22%,,
377,-0.001963132,-0.003125414,0.998036868,0.996874586,14%,21%,,
378,0.005328054,0.005377771,1.005328054,1.005377771,15%,22%,,
379,-0.000136213,-0.000669317,0.999863787,0.999330683,15%,22%,,
380,-0.005518305,-0.005410071,0.994481695,0.994589929,14%,21%,,
381,0.00164005,0.000961964,1.00164005,1.000961964,15%,21%,,
382,-0.001164342,-0.001131527,0.998835658,0.998868473,14%,21%,,
383,-0.002516527,-0.006778979,0.997483473,0.993221021,14%,20%,,
